Ratio,Reproduced,DeathDay,Survived
ontoone,,1,0
ontoone,,1,0
ontoone,,1,0
ontoone,,1,0
ontoone,,1,0
ontoone,,2,0
ontoone,,4,0
ontoone,,4,0
ontoone,,4,0
ontoone,,4,0
ontoone,,4,0
ontoone,,4,0
ontoone,,5,0
ontoone,,5,0
ontoone,,5,0
ontoone,,5,0
ontoone,,6,0
ontoone,,7,0
ontoone,,8,0
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,0,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
ontoone,1,11,1
onetotwo,,4,0
onetotwo,,4,0
onetotwo,,4,0
onetotwo,,4,0
onetotwo,,5,0
onetotwo,,7,0
onetotwo,,7,0
onetotwo,,7,0
onetotwo,,7,0
onetotwo,,7,0
onetotwo,,8,0
onetotwo,,8,0
onetotwo,,9,0
onetotwo,,9,0
onetotwo,,9,0
onetotwo,,9,0
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,0,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetotwo,1,11,1
onetofour,,4,0
onetofour,,4,0
onetofour,,4,0
onetofour,,6,0
onetofour,,6,0
onetofour,,6,0
onetofour,,6,0
onetofour,,6,0
onetofour,,6,0
onetofour,,7,0
onetofour,,7,0
onetofour,,7,0
onetofour,,7,0
onetofour,,7,0
onetofour,,7,0
onetofour,,8,0
onetofour,,8,0
onetofour,,8,0
onetofour,,8,0
onetofour,,9,0
onetofour,,9,0
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,0,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
onetofour,1,11,1
